domain,left,right,left_total,right_total,left_share,right_share
arktimes.com,2.0,1.0,334894,260132,5.972038913805562e-6,3.84420217428075e-6
arrestpodestanow.wix.com,0.0,2.0,334894,260132,0.0,7.6884043485615e-6
arrestwarrantsatanicritual.blogspot.com,0.0,3.0,334894,260132,0.0,1.1532606522842249e-5
arstechnica.com,1.0,10.0,334894,260132,2.986019456902781e-6,3.84420217428075e-5
art19.com,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
articles.latimes.com,0.0,2.0,334894,260132,0.0,7.6884043485615e-6
artsy.net,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
asahi.com,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
ascensionwithearth.com,0.0,10.0,334894,260132,0.0,3.84420217428075e-5
asgardia.space,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
ashbrook.org,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
askakorean.blogspot.kr,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
atalkingdude.com,3.0,0.0,334894,260132,8.958058370708343e-6,0.0
atfp.co,0.0,2.0,334894,260132,0.0,7.6884043485615e-6
ati.ms,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
atlantablackstar.com,8.0,1.0,334894,260132,2.3888155655222248e-5,3.84420217428075e-6
atlanteangardens.blogspot.ca,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
atlanticcouncil.org,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
atlasdowel.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
atlasobscura.com,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
attackthesystem.com,0.0,8.0,334894,260132,0.0,3.0753617394246e-5
attn.com,28.0,2.0,334894,260132,8.360854479327788e-5,7.6884043485615e-6
au.news.yahoo.com,0.0,3.0,334894,260132,0.0,1.1532606522842249e-5
audioboom.com,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
augenguy.blogspot.co.id,0.0,2.0,334894,260132,0.0,7.6884043485615e-6
austinair.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
avclub.com,2.0,0.0,334894,260132,5.972038913805562e-6,0.0
awakeningforums.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
awfullibrarybooks.net,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
axios.com,32.0,40.0,334894,260132,9.555262262088899e-5,1.5376808697123e-4
